dataset,algo,train_frac,k,seed,train_acc,test_acc,train_mcc,test_mcc,train_frac_guessing,test_frac_guessing,train_frac_sure,test_frac_sure,train_acc_sure,test_acc_sure,train_mcc_sure,test_mcc_sure,runtime
bird-song,dst-pll,0.8,1,0,0.673716,0.450704,0.622903,0.374026,0.482377,0.693159,0.336103,0.000000,1.000000,0.000000,1.000000,0.000000,0.192278
bird-song,dst-pll,0.8,1,1,0.671281,0.472306,0.621112,0.388422,0.491316,0.654582,0.328215,0.000000,1.000000,0.000000,1.000000,0.000000,0.196899
bird-song,dst-pll,0.8,1,2,0.667254,0.484391,0.616358,0.409039,0.491316,0.656596,0.326957,0.000000,1.000000,0.000000,1.000000,0.000000,0.200585
bird-song,dst-pll,0.8,1,3,0.665995,0.458207,0.614626,0.382324,0.488548,0.706949,0.331739,0.000000,1.000000,0.000000,1.000000,0.000000,0.196376
bird-song,dst-pll,0.8,1,4,0.672288,0.470292,0.622858,0.387282,0.491065,0.671702,0.322175,0.000000,1.000000,0.000000,1.000000,0.000000,0.202505
bird-song,dst-pll,0.8,10,0,0.803374,0.653924,0.773227,0.605685,0.078802,0.056338,0.635448,0.418511,0.934628,0.918269,0.916659,0.891105,0.209242
bird-song,dst-pll,0.8,10,1,0.804682,0.689829,0.775604,0.641851,0.082306,0.056395,0.625220,0.414904,0.942432,0.978155,0.926785,0.967436,0.219328
bird-song,dst-pll,0.8,10,2,0.794865,0.680765,0.764888,0.630381,0.083816,0.073515,0.628744,0.401813,0.939552,0.962406,0.923348,0.945455,0.224830
bird-song,dst-pll,0.8,10,3,0.803423,0.668681,0.773660,0.620380,0.088346,0.062437,0.639064,0.407855,0.938952,0.920988,0.922421,0.896654,0.230720
bird-song,dst-pll,0.8,10,4,0.810722,0.696878,0.783384,0.649026,0.078530,0.051360,0.624717,0.411883,0.937550,0.965770,0.920785,0.950911,0.233854
bird-song,dst-pll,0.8,100,0,0.808157,0.552314,0.781893,0.496356,0.016868,0.370221,0.392497,0.151911,0.991661,1.000000,0.984185,0.000000,1.095939
bird-song,dst-pll,0.8,100,1,0.797382,0.587110,0.770991,0.523721,0.014347,0.326284,0.393405,0.170191,0.992322,1.000000,0.986275,0.000000,1.190434
bird-song,dst-pll,0.8,100,2,0.796879,0.551863,0.770241,0.487206,0.014850,0.349446,0.382079,0.162135,0.994730,1.000000,0.990162,0.000000,1.224956
bird-song,dst-pll,0.8,100,3,0.800403,0.566969,0.773801,0.510606,0.013340,0.357503,0.393154,0.125881,0.992318,1.000000,0.985664,0.000000,1.255923
bird-song,dst-pll,0.8,100,4,0.800403,0.591138,0.775586,0.532738,0.014095,0.330312,0.374528,0.162135,0.994624,1.000000,0.989745,0.000000,1.242867
bird-song,dst-pll,0.8,11,0,0.799597,0.656942,0.768911,0.610023,0.071752,0.046278,0.641490,0.421529,0.937206,0.918854,0.920182,0.893280,0.207613
bird-song,dst-pll,0.8,11,1,0.809967,0.690836,0.781931,0.643315,0.073999,0.040282,0.627989,0.408862,0.941884,0.980296,0.926263,0.970412,0.231065
bird-song,dst-pll,0.8,11,2,0.795620,0.686808,0.766086,0.637434,0.075258,0.054381,0.633023,0.402820,0.940358,0.965000,0.924538,0.949528,0.224671
bird-song,dst-pll,0.8,11,3,0.803423,0.672709,0.773804,0.625548,0.081299,0.052367,0.645608,0.406848,0.940741,0.930693,0.925041,0.909095,0.265349
bird-song,dst-pll,0.8,11,4,0.806695,0.694864,0.778807,0.647786,0.074251,0.042296,0.628744,0.397784,0.938351,0.964557,0.922053,0.948334,0.237422
bird-song,dst-pll,0.8,12,0,0.803122,0.668008,0.773326,0.622567,0.063192,0.045272,0.644008,0.411469,0.939406,0.921760,0.923202,0.896430,0.221090
bird-song,dst-pll,0.8,12,1,0.812233,0.690836,0.784406,0.643984,0.066952,0.035247,0.630003,0.402820,0.942469,0.980000,0.927097,0.969764,0.229369
bird-song,dst-pll,0.8,12,2,0.796627,0.702920,0.767326,0.655860,0.072489,0.038268,0.634281,0.399799,0.939286,0.967254,0.923240,0.952509,0.247551
bird-song,dst-pll,0.8,12,3,0.803675,0.687815,0.774463,0.642604,0.072993,0.040282,0.644853,0.402820,0.940671,0.940000,0.924945,0.921217,0.227397
bird-song,dst-pll,0.8,12,4,0.804682,0.687815,0.776552,0.639435,0.064687,0.038268,0.631764,0.396777,0.937450,0.964467,0.921127,0.948343,0.239648
bird-song,dst-pll,0.8,13,0,0.803625,0.678068,0.773834,0.634794,0.059668,0.032193,0.642749,0.402414,0.939287,0.925000,0.923045,0.900090,0.230027
bird-song,dst-pll,0.8,13,1,0.815505,0.693857,0.788640,0.647342,0.062925,0.031219,0.632771,0.400806,0.943119,0.977387,0.928106,0.965810,0.254744
bird-song,dst-pll,0.8,13,2,0.801410,0.695871,0.772743,0.648235,0.063680,0.028197,0.634533,0.392749,0.941293,0.964103,0.925863,0.947299,0.233720
bird-song,dst-pll,0.8,13,3,0.808709,0.681772,0.780235,0.636477,0.065442,0.026183,0.644601,0.397784,0.943381,0.941772,0.928342,0.922941,0.238516
bird-song,dst-pll,0.8,13,4,0.807450,0.704935,0.779870,0.659490,0.061918,0.026183,0.631764,0.392749,0.938645,0.971795,0.922804,0.958825,0.255121
bird-song,dst-pll,0.8,14,0,0.809416,0.677062,0.780889,0.634191,0.050352,0.022133,0.641742,0.397384,0.938015,0.929114,0.921438,0.904970,0.231466
bird-song,dst-pll,0.8,14,1,0.818022,0.689829,0.791653,0.642795,0.058646,0.022155,0.631261,0.393756,0.946571,0.979540,0.932348,0.968729,0.252411
bird-song,dst-pll,0.8,14,2,0.801158,0.691843,0.772540,0.643669,0.055374,0.025176,0.631513,0.390735,0.941411,0.963918,0.925958,0.946806,0.250194
bird-song,dst-pll,0.8,14,3,0.811477,0.682779,0.783586,0.637780,0.058646,0.022155,0.642839,0.393756,0.944792,0.943734,0.930078,0.924988,0.257229
bird-song,dst-pll,0.8,14,4,0.806947,0.694864,0.779454,0.648562,0.052605,0.018127,0.628744,0.393756,0.942354,0.969309,0.927399,0.955312,0.263875
bird-song,dst-pll,0.8,15,0,0.807150,0.685111,0.778340,0.643986,0.042548,0.021127,0.638721,0.385312,0.937722,0.934726,0.920929,0.911520,0.233241
bird-song,dst-pll,0.8,15,1,0.817518,0.692850,0.791190,0.647022,0.053864,0.015106,0.631009,0.379658,0.946949,0.978780,0.932828,0.966461,0.233893
bird-song,dst-pll,0.8,15,2,0.803675,0.690836,0.775284,0.641765,0.052857,0.021148,0.631009,0.390735,0.940566,0.963918,0.924978,0.947022,0.259905
bird-song,dst-pll,0.8,15,3,0.813994,0.682779,0.786582,0.638291,0.051850,0.020141,0.643594,0.385700,0.946422,0.953003,0.932196,0.936896,0.267539
bird-song,dst-pll,0.8,15,4,0.804682,0.705942,0.777178,0.661581,0.049333,0.021148,0.623207,0.383686,0.944669,0.973753,0.930108,0.961188,0.282842
bird-song,dst-pll,0.8,16,0,0.808409,0.676056,0.779699,0.633608,0.043303,0.022133,0.635700,0.382294,0.940990,0.934211,0.924919,0.910758,0.249783
bird-song,dst-pll,0.8,16,1,0.817267,0.689829,0.791034,0.643190,0.050088,0.011078,0.623207,0.378651,0.950727,0.976064,0.937357,0.962218,0.284207
bird-song,dst-pll,0.8,16,2,0.802165,0.691843,0.773814,0.643576,0.051850,0.019134,0.629751,0.382679,0.939648,0.957895,0.923821,0.937280,0.264042
bird-song,dst-pll,0.8,16,3,0.812736,0.684794,0.785120,0.641217,0.048578,0.020141,0.641077,0.378651,0.947782,0.957447,0.933833,0.942241,0.270136
bird-song,dst-pll,0.8,16,4,0.807450,0.700906,0.780126,0.656120,0.049333,0.018127,0.619179,0.368580,0.945528,0.980874,0.931098,0.971354,0.273972
bird-song,dst-pll,0.8,17,0,0.810171,0.672032,0.781840,0.629141,0.042044,0.021127,0.630665,0.376258,0.942914,0.927807,0.927202,0.901392,0.248016
bird-song,dst-pll,0.8,17,1,0.814750,0.693857,0.788233,0.647876,0.046816,0.012085,0.616914,0.371601,0.951448,0.975610,0.938124,0.961065,0.263989
bird-song,dst-pll,0.8,17,2,0.804682,0.686808,0.776723,0.637863,0.046816,0.015106,0.627486,0.370594,0.940233,0.956522,0.924520,0.933573,0.268385
bird-song,dst-pll,0.8,17,3,0.815253,0.678751,0.788223,0.634539,0.047068,0.016113,0.636295,0.370594,0.950158,0.961957,0.936722,0.947652,0.280609
bird-song,dst-pll,0.8,17,4,0.805185,0.699899,0.777552,0.655009,0.047823,0.011078,0.618173,0.359517,0.946661,0.980392,0.932515,0.970299,0.247997
bird-song,dst-pll,0.8,18,0,0.811430,0.683099,0.783430,0.643226,0.036254,0.014085,0.625629,0.365191,0.944467,0.931129,0.928970,0.904258,0.248646
bird-song,dst-pll,0.8,18,1,0.814750,0.693857,0.788549,0.648131,0.045054,0.006042,0.613139,0.366566,0.951149,0.978022,0.937656,0.964502,0.267821
bird-song,dst-pll,0.8,18,2,0.803171,0.694864,0.774968,0.647745,0.043292,0.014099,0.621948,0.363545,0.940510,0.952909,0.924619,0.927707,0.280300
bird-song,dst-pll,0.8,18,3,0.813491,0.677744,0.786044,0.633458,0.045809,0.009063,0.631261,0.361531,0.951356,0.966574,0.938071,0.953866,0.289982
bird-song,dst-pll,0.8,18,4,0.806947,0.698892,0.779862,0.653791,0.040524,0.012085,0.611880,0.353474,0.951049,0.980057,0.937814,0.969496,0.295276
bird-song,dst-pll,0.8,19,0,0.812941,0.683099,0.785197,0.642085,0.035498,0.013078,0.619084,0.357143,0.945506,0.929577,0.930007,0.900708,0.272466
bird-song,dst-pll,0.8,19,1,0.816511,0.692850,0.790602,0.646520,0.041530,0.003021,0.607853,0.366566,0.952381,0.975275,0.939039,0.960157,0.263197
bird-song,dst-pll,0.8,19,2,0.802416,0.682779,0.774374,0.633470,0.039265,0.014099,0.619179,0.356495,0.944309,0.957627,0.929324,0.933780,0.293737
bird-song,dst-pll,0.8,19,3,0.810219,0.681772,0.782318,0.638411,0.040775,0.007049,0.626227,0.352467,0.953778,0.971429,0.940972,0.960154,0.286063
bird-song,dst-pll,0.8,19,4,0.804933,0.695871,0.777677,0.650370,0.039013,0.011078,0.605084,0.345418,0.954659,0.979592,0.942171,0.968437,0.281217
bird-song,dst-pll,0.8,2,0,0.714250,0.556338,0.668958,0.492483,0.362790,0.485915,0.404330,0.230382,0.966999,0.956332,0.940467,0.811337,0.182780
bird-song,dst-pll,0.8,2,1,0.712308,0.582075,0.668273,0.513745,0.376793,0.438066,0.397684,0.274924,0.969620,0.985348,0.946750,0.933632,0.190369
bird-song,dst-pll,0.8,2,2,0.715580,0.573011,0.671902,0.504166,0.369746,0.451158,0.395419,0.257805,0.968810,0.937500,0.945053,0.715431,0.195743
bird-song,dst-pll,0.8,2,3,0.720111,0.561934,0.675989,0.497284,0.371508,0.445116,0.398943,0.217523,0.972871,0.986111,0.950807,0.912782,0.197764
bird-song,dst-pll,0.8,2,4,0.716335,0.588117,0.673550,0.520060,0.369242,0.437059,0.392902,0.252769,0.973735,0.976096,0.953606,0.853901,0.202472
bird-song,dst-pll,0.8,20,0,0.810423,0.675050,0.782391,0.633188,0.034743,0.010060,0.614552,0.348089,0.947562,0.936416,0.932514,0.908783,0.309491
bird-song,dst-pll,0.8,20,1,0.815756,0.698892,0.789931,0.653110,0.036496,0.003021,0.602567,0.347432,0.955723,0.979710,0.943161,0.965392,0.268466
bird-song,dst-pll,0.8,20,2,0.800906,0.692850,0.772809,0.645285,0.037755,0.011078,0.615404,0.346425,0.945194,0.965116,0.930306,0.944454,0.291386
bird-song,dst-pll,0.8,20,3,0.812736,0.680765,0.785357,0.637036,0.038007,0.007049,0.620438,0.348439,0.959026,0.971098,0.947442,0.959603,0.297058
bird-song,dst-pll,0.8,20,4,0.805940,0.690836,0.778884,0.644768,0.035741,0.008056,0.596778,0.340383,0.955715,0.976331,0.943242,0.962983,0.315900
bird-song,dst-pll,0.8,21,0,0.807402,0.678068,0.778796,0.637058,0.031722,0.008048,0.608761,0.339034,0.948718,0.937685,0.933758,0.909155,0.295279
bird-song,dst-pll,0.8,21,1,0.816260,0.694864,0.790515,0.648705,0.035238,0.004028,0.598288,0.348439,0.959192,0.979769,0.947487,0.966090,0.298548
bird-song,dst-pll,0.8,21,2,0.800151,0.689829,0.771989,0.641540,0.033728,0.009063,0.608356,0.339376,0.949110,0.967359,0.934995,0.947651,0.310200
bird-song,dst-pll,0.8,21,3,0.812736,0.684794,0.785270,0.641989,0.038258,0.005035,0.612384,0.340383,0.963831,0.973373,0.953391,0.962248,0.308066
bird-song,dst-pll,0.8,21,4,0.805437,0.690836,0.778219,0.645243,0.033476,0.005035,0.588724,0.332326,0.958102,0.981818,0.946016,0.970817,0.317512
bird-song,dst-pll,0.8,22,0,0.809668,0.680080,0.781605,0.639077,0.030967,0.005030,0.601964,0.326962,0.949812,0.938462,0.934862,0.908900,0.272242
bird-song,dst-pll,0.8,22,1,0.814750,0.693857,0.788815,0.647608,0.034483,0.005035,0.592248,0.338369,0.961751,0.985119,0.950618,0.974111,0.322546
bird-song,dst-pll,0.8,22,2,0.802668,0.689829,0.774786,0.641400,0.029952,0.006042,0.602316,0.332326,0.951525,0.966667,0.937811,0.945746,0.310674
bird-song,dst-pll,0.8,22,3,0.809716,0.692850,0.781783,0.650908,0.038007,0.007049,0.608860,0.327291,0.964035,0.978462,0.953623,0.968751,0.306095
bird-song,dst-pll,0.8,22,4,0.805688,0.679758,0.778837,0.632380,0.028694,0.004028,0.581173,0.326284,0.962321,0.981481,0.951213,0.969729,0.319817
bird-song,dst-pll,0.8,23,0,0.811682,0.679074,0.784019,0.637997,0.030715,0.007042,0.593656,0.321932,0.951230,0.940625,0.936263,0.910850,0.344811
bird-song,dst-pll,0.8,23,1,0.814498,0.697885,0.788681,0.652591,0.031211,0.006042,0.588724,0.328298,0.964087,0.987730,0.953521,0.977917,0.314131
bird-song,dst-pll,0.8,23,2,0.805185,0.687815,0.777816,0.639400,0.029197,0.008056,0.595016,0.325277,0.954315,0.972136,0.941108,0.953316,0.328858
bird-song,dst-pll,0.8,23,3,0.812484,0.681772,0.785219,0.638216,0.037000,0.002014,0.600302,0.321249,0.965199,0.978056,0.954877,0.968022,0.335563
bird-song,dst-pll,0.8,23,4,0.805940,0.683787,0.779071,0.637466,0.030204,0.005035,0.572615,0.323263,0.965714,0.984424,0.955331,0.974262,0.330735
bird-song,dst-pll,0.8,24,0,0.808409,0.675050,0.780262,0.633602,0.029708,0.006036,0.585096,0.316901,0.953959,0.942857,0.939436,0.913243,0.296259
bird-song,dst-pll,0.8,24,1,0.815505,0.703927,0.789720,0.659596,0.027687,0.003021,0.580921,0.321249,0.967504,0.990596,0.957722,0.982627,0.306569
bird-song,dst-pll,0.8,24,2,0.802668,0.687815,0.775191,0.639500,0.026932,0.006042,0.586710,0.319235,0.956671,0.971609,0.943841,0.951317,0.304904
bird-song,dst-pll,0.8,24,3,0.811729,0.683787,0.784305,0.641142,0.035741,0.001007,0.593506,0.314199,0.966073,0.983974,0.955818,0.976551,0.352560
bird-song,dst-pll,0.8,24,4,0.808960,0.679758,0.782751,0.632891,0.029700,0.004028,0.568336,0.322256,0.966785,0.984375,0.956579,0.974233,0.346351
bird-song,dst-pll,0.8,25,0,0.809164,0.681087,0.781187,0.639995,0.029708,0.005030,0.580312,0.312877,0.954447,0.945338,0.939882,0.916042,0.281732
bird-song,dst-pll,0.8,25,1,0.813743,0.697885,0.787794,0.653147,0.025925,0.005035,0.576894,0.315206,0.968150,0.990415,0.958477,0.981875,0.307459
bird-song,dst-pll,0.8,25,2,0.802416,0.693857,0.774715,0.646285,0.027939,0.008056,0.580921,0.310171,0.960572,0.974026,0.948664,0.953999,0.342662
bird-song,dst-pll,0.8,25,3,0.810722,0.682779,0.783322,0.639758,0.031714,0.001007,0.589731,0.310171,0.966283,0.983766,0.955975,0.976158,0.313699
bird-song,dst-pll,0.8,25,4,0.808457,0.678751,0.782178,0.631363,0.028442,0.003021,0.563051,0.316213,0.968708,0.990446,0.958958,0.984090,0.351794
bird-song,dst-pll,0.8,26,0,0.808912,0.682093,0.780824,0.641678,0.029456,0.004024,0.573515,0.307847,0.956980,0.947712,0.942880,0.918740,0.302438
bird-song,dst-pll,0.8,26,1,0.813491,0.698892,0.787530,0.654506,0.024163,0.006042,0.572867,0.306143,0.968805,0.990132,0.959205,0.980608,0.331763
bird-song,dst-pll,0.8,26,2,0.803171,0.691843,0.775623,0.644490,0.027687,0.004028,0.573370,0.302115,0.963126,0.976667,0.951705,0.957041,0.360086
bird-song,dst-pll,0.8,26,3,0.811729,0.684794,0.784328,0.642318,0.029449,0.000000,0.583690,0.306143,0.967227,0.983553,0.957020,0.975720,0.374076
bird-song,dst-pll,0.8,26,4,0.803927,0.676737,0.777065,0.629389,0.026428,0.002014,0.555751,0.309164,0.971467,0.990228,0.962339,0.983265,0.362976
bird-song,dst-pll,0.8,27,0,0.811682,0.686117,0.784035,0.645891,0.027694,0.004024,0.567724,0.302817,0.958315,0.950166,0.944379,0.921504,0.320501
bird-song,dst-pll,0.8,27,1,0.815756,0.700906,0.790238,0.656636,0.023911,0.004028,0.567078,0.304129,0.970706,0.990066,0.961508,0.980266,0.381057
bird-song,dst-pll,0.8,27,2,0.805688,0.684794,0.778587,0.636150,0.026680,0.004028,0.566826,0.293051,0.964920,0.975945,0.953850,0.953532,0.362124
bird-song,dst-pll,0.8,27,3,0.809967,0.682779,0.782415,0.639816,0.027435,0.002014,0.576894,0.298087,0.969023,0.983108,0.959139,0.974500,0.388423
bird-song,dst-pll,0.8,27,4,0.805185,0.675730,0.778558,0.628463,0.027687,0.003021,0.550969,0.299094,0.972590,0.989899,0.963672,0.982051,0.370010
bird-song,dst-pll,0.8,28,0,0.812185,0.686117,0.784640,0.646601,0.027190,0.003018,0.563696,0.297787,0.959357,0.949324,0.945583,0.918838,0.347598
bird-song,dst-pll,0.8,28,1,0.815505,0.701913,0.789973,0.657713,0.022653,0.003021,0.562547,0.300101,0.970917,0.989933,0.961675,0.979867,0.329951
bird-song,dst-pll,0.8,28,2,0.801410,0.681772,0.773737,0.632620,0.027183,0.004028,0.561792,0.284995,0.967742,0.975265,0.957410,0.950153,0.371188
bird-song,dst-pll,0.8,28,3,0.813239,0.681772,0.786242,0.638628,0.028694,0.002014,0.571860,0.289023,0.969190,0.989547,0.959193,0.983908,0.361928
bird-song,dst-pll,0.8,28,4,0.807199,0.675730,0.780882,0.628646,0.027435,0.003021,0.545935,0.290030,0.972337,0.996528,0.963161,0.993653,0.383435
bird-song,dst-pll,0.8,29,0,0.813948,0.686117,0.786764,0.646138,0.025932,0.002012,0.557654,0.290744,0.959819,0.948097,0.945875,0.914677,0.341049
bird-song,dst-pll,0.8,29,1,0.815253,0.698892,0.789600,0.654451,0.021143,0.003021,0.558520,0.294058,0.970708,0.989726,0.961280,0.978653,0.392198
bird-song,dst-pll,0.8,29,2,0.803927,0.681772,0.776586,0.632884,0.023911,0.005035,0.557513,0.280967,0.969752,0.978495,0.959912,0.955477,0.393243
bird-song,dst-pll,0.8,29,3,0.816008,0.682779,0.789435,0.639465,0.027687,0.002014,0.566574,0.283988,0.970680,0.989362,0.960971,0.983367,0.381513
bird-song,dst-pll,0.8,29,4,0.807450,0.680765,0.781098,0.634658,0.025673,0.002014,0.538132,0.287009,0.974743,0.996491,0.966108,0.993531,0.387616
bird-song,dst-pll,0.8,3,0,0.745468,0.580483,0.705129,0.518850,0.275932,0.365191,0.465760,0.257545,0.949730,0.949219,0.922885,0.870669,0.191209
bird-song,dst-pll,0.8,3,1,0.739492,0.596173,0.699996,0.528823,0.288699,0.345418,0.456079,0.311178,0.960817,0.974110,0.940790,0.939676,0.202080
bird-song,dst-pll,0.8,3,2,0.748049,0.610272,0.709791,0.545350,0.288950,0.338369,0.462371,0.286002,0.955362,0.943662,0.933356,0.857463,0.194038
bird-song,dst-pll,0.8,3,3,0.737226,0.588117,0.696309,0.525159,0.292978,0.342397,0.463126,0.267875,0.960870,0.921053,0.940269,0.820477,0.194845
bird-song,dst-pll,0.8,3,4,0.742764,0.607251,0.704444,0.541250,0.284420,0.343404,0.460357,0.294058,0.960087,0.972603,0.940518,0.933312,0.200777
bird-song,dst-pll,0.8,30,0,0.813696,0.687123,0.786348,0.647256,0.023414,0.002012,0.553122,0.286720,0.959945,0.950877,0.945811,0.918047,0.357392
bird-song,dst-pll,0.8,30,1,0.814750,0.703927,0.788956,0.660450,0.020388,0.002014,0.552228,0.290030,0.971741,0.989583,0.962416,0.977945,0.378796
bird-song,dst-pll,0.8,30,2,0.803675,0.687815,0.776283,0.639713,0.023156,0.004028,0.552479,0.275932,0.970843,0.978102,0.961193,0.953458,0.386657
bird-song,dst-pll,0.8,30,3,0.817518,0.682779,0.791214,0.639860,0.025925,0.005035,0.560534,0.275932,0.971262,0.989051,0.961557,0.982599,0.407798
bird-song,dst-pll,0.8,30,4,0.808709,0.680765,0.782731,0.634046,0.022905,0.002014,0.534357,0.278953,0.976448,0.992780,0.968270,0.986132,0.400124
bird-song,dst-pll,0.8,31,0,0.813444,0.688129,0.786045,0.648241,0.023666,0.002012,0.548338,0.278672,0.961433,0.949458,0.947548,0.913308,0.364615
bird-song,dst-pll,0.8,31,1,0.815001,0.698892,0.789300,0.654551,0.021646,0.002014,0.547194,0.282981,0.971941,0.989324,0.962498,0.976395,0.335781
bird-song,dst-pll,0.8,31,2,0.804933,0.690836,0.777686,0.643103,0.023911,0.002014,0.545683,0.269889,0.972325,0.981343,0.962929,0.958898,0.399590
bird-song,dst-pll,0.8,31,3,0.816008,0.680765,0.789697,0.637156,0.025673,0.004028,0.555248,0.267875,0.971442,0.988722,0.961610,0.981595,0.399700
bird-song,dst-pll,0.8,31,4,0.810722,0.678751,0.785090,0.631698,0.021143,0.002014,0.531588,0.277946,0.976799,0.992754,0.968658,0.985991,0.410279
bird-song,dst-pll,0.8,32,0,0.813696,0.688129,0.786371,0.648142,0.022659,0.002012,0.545065,0.275654,0.962125,0.952555,0.948334,0.917173,0.373940
bird-song,dst-pll,0.8,32,1,0.818525,0.700906,0.793406,0.656827,0.020639,0.004028,0.543670,0.273917,0.971759,0.988971,0.962140,0.974227,0.408347
bird-song,dst-pll,0.8,32,2,0.806192,0.692850,0.779141,0.645455,0.025170,0.002014,0.539894,0.265861,0.973427,0.984848,0.964222,0.965772,0.392650
bird-song,dst-pll,0.8,32,3,0.817267,0.679758,0.791162,0.635797,0.024666,0.003021,0.550969,0.263847,0.972590,0.988550,0.962987,0.980984,0.417146
bird-song,dst-pll,0.8,32,4,0.809464,0.675730,0.783800,0.628372,0.019884,0.002014,0.525799,0.275932,0.977022,0.992701,0.968784,0.985701,0.429409
bird-song,dst-pll,0.8,33,0,0.812185,0.687123,0.784669,0.646439,0.020393,0.004024,0.540030,0.266600,0.962704,0.958491,0.948834,0.924176,0.385873
bird-song,dst-pll,0.8,33,1,0.818525,0.698892,0.793465,0.654178,0.021646,0.002014,0.537629,0.267875,0.974719,0.988722,0.965916,0.972745,0.406382
bird-song,dst-pll,0.8,33,2,0.806695,0.693857,0.779824,0.647415,0.023660,0.002014,0.537377,0.260826,0.973770,0.988417,0.964580,0.972528,0.450618
bird-song,dst-pll,0.8,33,3,0.818777,0.685801,0.792823,0.642989,0.021646,0.003021,0.545935,0.256798,0.973260,0.988235,0.963723,0.980042,0.414771
bird-song,dst-pll,0.8,33,4,0.809716,0.677744,0.784078,0.631324,0.019129,0.002014,0.518752,0.272910,0.979622,0.992620,0.972089,0.985267,0.424751
bird-song,dst-pll,0.8,34,0,0.811178,0.693159,0.783556,0.653425,0.019889,0.003018,0.533484,0.262575,0.962718,0.961686,0.948480,0.928309,0.408846
bird-song,dst-pll,0.8,34,1,0.817770,0.698892,0.792534,0.654748,0.020639,0.003021,0.532847,0.263847,0.975909,0.988550,0.967394,0.971555,0.434204
bird-song,dst-pll,0.8,34,2,0.806947,0.689829,0.780047,0.641798,0.020891,0.002014,0.531840,0.251762,0.974917,0.988000,0.965921,0.969437,0.407414
bird-song,dst-pll,0.8,34,3,0.815001,0.682779,0.788516,0.639503,0.022150,0.003021,0.540901,0.250755,0.973941,0.987952,0.964478,0.978910,0.441355
bird-song,dst-pll,0.8,34,4,0.809464,0.678751,0.783901,0.632405,0.020388,0.003021,0.512962,0.268882,0.979882,0.996255,0.972269,0.992395,0.446512
bird-song,dst-pll,0.8,35,0,0.813444,0.700201,0.786275,0.662440,0.019637,0.003018,0.528197,0.252515,0.964252,0.964143,0.950274,0.928218,0.388892
bird-song,dst-pll,0.8,35,1,0.816763,0.700906,0.791523,0.656774,0.020891,0.003021,0.528820,0.257805,0.975726,0.988281,0.967011,0.970205,0.411739
bird-song,dst-pll,0.8,35,2,0.807954,0.682779,0.781353,0.634051,0.019884,0.000000,0.526554,0.244713,0.975143,0.987654,0.966046,0.967365,0.420577
bird-song,dst-pll,0.8,35,3,0.818022,0.685801,0.792097,0.643098,0.022150,0.001007,0.534860,0.245720,0.975529,0.987705,0.966424,0.977861,0.448206
bird-song,dst-pll,0.8,35,4,0.809464,0.679758,0.783957,0.633399,0.020891,0.001007,0.510194,0.263847,0.979773,0.996183,0.972035,0.992046,0.466924
bird-song,dst-pll,0.8,36,0,0.813192,0.697183,0.785966,0.658752,0.018630,0.001006,0.524673,0.243461,0.964971,0.966942,0.951051,0.930482,0.403182
bird-song,dst-pll,0.8,36,1,0.817267,0.697885,0.792171,0.653465,0.021143,0.003021,0.522779,0.253776,0.977371,0.992063,0.969036,0.979142,0.433831
bird-song,dst-pll,0.8,36,2,0.809212,0.684794,0.782821,0.636002,0.018877,0.000000,0.521520,0.238671,0.975869,0.991561,0.966862,0.975701,0.445678
bird-song,dst-pll,0.8,36,3,0.816511,0.682779,0.790482,0.639829,0.022653,0.001007,0.530581,0.238671,0.976755,0.991561,0.967940,0.984182,0.458219
bird-song,dst-pll,0.8,36,4,0.810722,0.676737,0.785338,0.629869,0.021394,0.002014,0.505160,0.256798,0.980070,0.996078,0.972283,0.991341,0.453031
bird-song,dst-pll,0.8,37,0,0.812941,0.692153,0.785672,0.653136,0.016616,0.001006,0.518379,0.237425,0.966489,0.966102,0.952808,0.926687,0.430145
bird-song,dst-pll,0.8,37,1,0.819532,0.700906,0.794833,0.656975,0.020388,0.004028,0.517241,0.252769,0.979562,0.992032,0.971822,0.978797,0.409354
bird-song,dst-pll,0.8,37,2,0.808709,0.685801,0.782237,0.638014,0.017871,0.000000,0.515731,0.237664,0.977550,0.987288,0.968956,0.962944,0.415272
bird-song,dst-pll,0.8,37,3,0.815756,0.684794,0.789442,0.641883,0.021898,0.001007,0.525044,0.235650,0.976989,0.991453,0.968059,0.983668,0.450077
bird-song,dst-pll,0.8,37,4,0.808205,0.681772,0.782445,0.635726,0.021646,0.003021,0.501133,0.252769,0.978905,0.996016,0.970526,0.991003,0.450014
bird-song,dst-pll,0.8,38,0,0.810926,0.692153,0.783422,0.653578,0.016365,0.001006,0.512085,0.234406,0.968535,0.969957,0.955325,0.932985,0.419439
bird-song,dst-pll,0.8,38,1,0.818273,0.694864,0.793327,0.650240,0.018877,0.004028,0.512962,0.249748,0.979882,0.991935,0.972116,0.978091,0.461275
bird-song,dst-pll,0.8,38,2,0.809716,0.683787,0.783471,0.635572,0.016109,0.000000,0.510194,0.235650,0.977800,0.991453,0.969115,0.974725,0.454758
bird-song,dst-pll,0.8,38,3,0.817267,0.679758,0.791464,0.636444,0.019633,0.000000,0.519758,0.228600,0.977240,0.991189,0.968213,0.982223,0.462199
bird-song,dst-pll,0.8,38,4,0.807450,0.677744,0.781729,0.631633,0.020388,0.002014,0.496602,0.248741,0.979219,0.995951,0.970786,0.990489,0.480956
